"[1.524861216545105, -1.6501315832138062]",|,"[1.5333788394927979, -1.6449321508407593]",|,[-0.00851762 -0.00519943]
"[1.5241727828979492, -1.6587308645248413]",|,"[1.530182957649231, -1.6624807119369507]",|,[-0.00601017  0.00374985]
"[1.5175018310546875, -1.6630351543426514]",|,"[1.5192710161209106, -1.6577258110046387]",|,[-0.00176919 -0.00530934]
"[1.4807353019714355, -1.6648004055023193]",|,"[1.4876976013183594, -1.661684513092041]",|,[-0.0069623  -0.00311589]
"[1.455300211906433, -1.660611867904663]",|,"[1.4488171339035034, -1.651916265487671]",|,[ 0.00648308 -0.0086956 ]
"[1.3967773914337158, -1.6470537185668945]",|,"[1.4047771692276, -1.6386293172836304]",|,[-0.00799978 -0.0084244 ]
"[1.3674914836883545, -1.6405534744262695]",|,"[1.3621917963027954, -1.6280192136764526]",|,[ 0.00529969 -0.01253426]
"[1.3089373111724854, -1.6275510787963867]",|,"[1.316513180732727, -1.6193400621414185]",|,[-0.00757587 -0.00821102]
"[1.2796612977981567, -1.6210273504257202]",|,"[1.2700296640396118, -1.610449194908142]",|,[ 0.00963163 -0.01057816]
"[1.22112238407135, -1.6080385446548462]",|,"[1.224176287651062, -1.6011624336242676]",|,[-0.0030539  -0.00687611]
"[1.1771949529647827, -1.5982592105865479]",|,"[1.1772663593292236, -1.5917490720748901]",|,[-7.14063644e-05 -6.51013851e-03]
"[1.147911787033081, -1.5917497873306274]",|,"[1.1311726570129395, -1.5821552276611328]",|,[ 0.01673913 -0.00959456]
"[1.0893540382385254, -1.5787065029144287]",|,"[1.0862023830413818, -1.572473168373108]",|,[ 0.00315166 -0.00623333]
"[1.0600636005401611, -1.5721800327301025]",|,"[1.0400524139404297, -1.5626758337020874]",|,[ 0.02001119 -0.0095042 ]
"[1.0015344619750977, -1.5591708421707153]",|,"[0.996200442314148, -1.553018569946289]",|,[ 0.00533402 -0.00615227]
"[0.9576190114021301, -1.5493983030319214]",|,"[0.9507565498352051, -1.5431479215621948]",|,[ 0.00686246 -0.00625038]
"[0.9283390045166016, -1.5429089069366455]",|,"[0.9067727327346802, -1.5334405899047852]",|,[ 0.02156627 -0.00946832]
"[0.8844248652458191, -1.5331377983093262]",|,"[0.8640598058700562, -1.5239413976669312]",|,[ 0.02036506 -0.0091964 ]
"[0.8405019640922546, -1.5233792066574097]",|,"[0.8199831247329712, -1.514149785041809]",|,[ 0.02051884 -0.00922942]
"[0.7966036200523376, -1.513607144355774]",|,"[0.7777736783027649, -1.5048233270645142]",|,[ 0.01882994 -0.00878382]
"[0.7380436062812805, -1.500568151473999]",|,"[0.7341935634613037, -1.495104432106018]",|,[ 0.00385004 -0.00546372]
"[0.7087632417678833, -1.4940645694732666]",|,"[0.692260205745697, -1.4859412908554077]",|,[ 0.01650304 -0.00812328]
"[0.6648520231246948, -1.484320044517517]",|,"[0.648896336555481, -1.4763236045837402]",|,[ 0.01595569 -0.00799644]
"[0.6062918901443481, -1.4713144302368164]",|,"[0.6070849895477295, -1.4673618078231812]",|,[-0.0007931  -0.00395262]
"[0.5770167708396912, -1.4647947549819946]",|,"[0.5637348294258118, -1.457741141319275]",|,[ 0.01328194 -0.00705361]
