New dataset
Velocidade | aceleração angular | Posição (RSS) | time | Posição real
0.0 | 0.013937096461860482 | [1.313036226672338, 1.4895143359044158] | 1672709002.175495 | [1.3233778476715088, 1.5003798007965088]
0.0 | -0.00100716564773285 | [1.292363996231974, 1.4677952578876925] | 1672709002.3171163 | [1.2923638820648193, 1.4677952527999878]
0.0 | -0.00025799006246548655 | [1.2613444477657465, 1.4352066457926396] | 1672709002.47415 | [1.2613444328308105, 1.435206651687622]
0.0 | 0.016265945930974246 | [1.2200047069583055, 1.3917776243126807] | 1672709002.6302562 | [1.2200047969818115, 1.3917776346206665]
0.0 | -0.01637892045815602 | [1.1993112746940207, 1.3700740241598683] | 1672709002.767551 | [1.1993112564086914, 1.3700740337371826]
0.0 | -0.0099176755862665 | [1.1683247319371368, 1.3375122399591794] | 1672709002.923104 | [1.168324589729309, 1.3375122547149658]
0.0 | 0.04508585791716826 | [1.1269642378151445, 1.2940837077072664] | 1672709003.0807145 | [1.1269643306732178, 1.2940837144851685]
0.0 | -0.006522757954289006 | [1.106293579681224, 1.2723649500555945] | 1672709003.2193334 | [1.1062934398651123, 1.2723649740219116]
0.0 | -0.02410026095801997 | [1.0649553783005472, 1.22893249537785] | 1672709003.3764715 | [1.0753010511398315, 1.2397940158843994]
0.0 | 0.002152022826569031 | [1.044276979089716, 1.2072191053167367] | 1672709003.5160618 | [1.0442769527435303, 1.207219123840332]
0.0 | 0.001428788817778084 | [1.0132840134714494, 1.1746356090415178] | 1672709003.6713219 | [1.0132838487625122, 1.174635648727417]
0.0 | 0.005140579175156035 | [0.9719145704183084, 1.1311971797626414] | 1672709003.8260703 | [0.982251763343811, 1.1420505046844482]
0.0 | -0.0036224500350818577 | [0.9408908204930189, 1.0986108537153747] | 1672709003.984591 | [0.9408907890319824, 1.0986108779907227]
0.0 | -0.0004758249417659776 | [0.9202403012827948, 1.0769084466059873] | 1672709004.1195793 | [0.9202402830123901, 1.0769084692001343]
0.0 | -0.007092762546157113 | [0.8789122596489567, 1.0335032499595735] | 1672709004.2741697 | [0.8892499208450317, 1.0443546772003174]
0.0 | 0.04806877170722307 | [0.8478900544827166, 1.0009108631718537] | 1672709004.4327636 | [0.8582276105880737, 1.011763334274292]
0.0 | -0.009321182390691494 | [0.8272417129602319, 0.9792026980640007] | 1672709004.5733857 | [0.8272415995597839, 0.9792027473449707]
0.0 | 0.0013525625891114773 | [0.7858910760771907, 0.935782659281014] | 1672709004.7289712 | [0.7962265610694885, 0.9466283917427063]
0.0 | 0.03042249289151295 | [0.765203379794188, 0.9140599675526109] | 1672709004.867017 | [0.7652033567428589, 0.9140599966049194]
0.0 | 0.01244757776104819 | [0.7342229830230047, 0.8814923100904646] | 1672709005.0210066 | [0.7342232465744019, 0.8814922571182251]
0.0 | 0.00865576590810032 | [0.7032346928573242, 0.8489010213250668] | 1672709005.1757724 | [0.7032347321510315, 0.8489009737968445]
0.0 | 0.011794661847659345 | [0.6722207739095131, 0.8163124870112322] | 1672709005.3149304 | [0.6722206473350525, 0.8163126111030579]
0.0 | -0.021436142054188437 | [0.6412379186187543, 0.7837224738752331] | 1672709005.472016 | [0.6412378549575806, 0.7837225198745728]
0.0 | 0.0167791744366111 | [0.6102261648548517, 0.7511403246950576] | 1672709005.6244147 | [0.6102257966995239, 0.7511404752731323]
0.0 | 0.0039722844716183255 | [0.5688921619947451, 0.7076831858844844] | 1672709005.7780044 | [0.5792316794395447, 0.7185503840446472]
0.0 | 0.013672851610796309 | [0.5482381437343902, 0.685964238267765] | 1672709005.9172456 | [0.5482379198074341, 0.6859642863273621]
0.0 | 0.009816232008368729 | [0.5172152782146916, 0.6533915488729767] | 1672709006.0722508 | [0.5172148942947388, 0.6533917188644409]
0.0 | 0.03377486603420093 | [0.4758875580118043, 0.6099388469024353] | 1672709006.2288332 | [0.48620185256004333, 0.620785117149353]
0.0 | 0.007854930978517258 | [0.45522736481803555, 0.5882175193453136] | 1672709006.3688867 | [0.45522746443748474, 0.5882174968719482]
0.0 | -0.00947433391267581 | [0.41387832165730115, 0.5447474658574318] | 1672709006.5244706 | [0.4242139756679535, 0.5556086897850037]
0.0 | 0.01593559908641379 | [0.38289473414391423, 0.5121676920315166] | 1672709006.6800551 | [0.3932173252105713, 0.5230262875556946]
0.0 | -0.020786774675928703 | [0.3622289260679931, 0.4904376932057985] | 1672709006.8198378 | [0.3622288703918457, 0.4904378056526184]
0.0 | -0.011805332140516125 | [0.3312233061705402, 0.4578227455057455] | 1672709006.9789305 | [0.3312232494354248, 0.45782271027565]
0.0 | -0.0014264591767261061 | [0.30021860357981955, 0.4252381187977289] | 1672709007.1170907 | [0.3002186417579651, 0.4252381920814514]
0.0 | -0.05208167018609422 | [0.2692352674686208, 0.39264760044896974] | 1672709007.2719483 | [0.2692350447177887, 0.39264780282974243]
0.0 | -0.01893770715615239 | [0.23824538495087655, 0.3600378956940254] | 1672709007.4268491 | [0.2382451593875885, 0.3600381016731262]
0.0 | 0.014260096157039536 | [0.2072389341828671, 0.32746289762548164] | 1672709007.5668375 | [0.20723898708820343, 0.32746294140815735]
0.0 | 0.013724707057769889 | [0.17620641195349152, 0.2948803296485029] | 1672709007.7208548 | [0.1762063056230545, 0.29488039016723633]
0.0 | 0.023230444859798714 | [0.1348884733792598, 0.2514509533617807] | 1672709007.8768375 | [0.14521661400794983, 0.2623142898082733]
0.0 | 0.03845467023891621 | [0.11422393715927881, 0.22975090604169573] | 1672709008.0166998 | [0.11422403901815414, 0.22975091636180878]
0.0 | 0.002959643394899145 | [0.08323517449922602, 0.19716461049769662] | 1672709008.17184 | [0.08323492854833603, 0.19716469943523407]
0.0 | 0.00890616081664328 | [0.04190150222040245, 0.1537316552554277] | 1672709008.327809 | [0.04190123826265335, 0.1537318229675293]
0.0 | 0.026666782473237602 | [0.010926551103851656, 0.12114065183743367] | 1672709008.4804168 | [0.010926508344709873, 0.12114081531763077]
0.0 | 0.012253808773955467 | [-0.009764515468216273, 0.09939176439158753] | 1672709008.623034 | [-0.00976475514471531, 0.09939193725585938]
0.0 | 0.007053116417836231 | [-0.04075186681043652, 0.06680744008672257] | 1672709008.7796166 | [-0.04075196385383606, 0.06680755317211151]
0.0 | -0.0280078866342195 | [-0.07176034811290516, 0.03421514246568791] | 1672709008.9182448 | [-0.07176041603088379, 0.03421511501073837]
0.0 | 6.242407093343359e-05 | [-0.10275180845577409, 0.001637992418477563] | 1672709009.0742486 | [-0.10275205224752426, 0.001638153218664229]
0.0 | 0.0017157573183643987 | [-0.13373517058256462, -0.030944990051342547] | 1672709009.2308307 | [-0.13373547792434692, -0.03094474971294403]
0.0 | 0.003216957137120023 | [-0.16478933237811833, -0.06354980133171495] | 1672709009.368423 | [-0.16478976607322693, -0.06354940682649612]
0.0 | -0.0171049326974825 | [-0.1957794324638122, -0.0961477521550933] | 1672709009.5224886 | [-0.19577936828136444, -0.09614785760641098]
0.0 | 0.006944058363340533 | [-0.22676270081392308, -0.12872035759469486] | 1672709009.6765864 | [-0.22676274180412292, -0.1287202686071396]
0.0 | -0.007709495386101393 | [-0.2577496657087291, -0.1613003970170387] | 1672709009.8172123 | [-0.2577495872974396, -0.16130051016807556]
0.0 | 0.008380800136997869 | [-0.28874612678859934, -0.19388208606506752] | 1672709009.97281 | [-0.2887462079524994, -0.1938820779323578]
0.0 | 0.013029815093383074 | [-0.31974451485773997, -0.22648437524876247] | 1672709010.1273994 | [-0.3197445571422577, -0.22648434340953827]
0.0 | -0.029617120503943897 | [-0.35075718685365126, -0.2591065992386088] | 1672709010.2660086 | [-0.3507574796676636, -0.2591063380241394]
0.0 | -0.01955896434007513 | [-0.38175422371719947, -0.29166098941358526] | 1672709010.420022 | [-0.38175448775291443, -0.29166072607040405]
0.0 | -0.03260605913581014 | [-0.41273024642866063, -0.32426733906307137] | 1672709010.5746055 | [-0.4127301275730133, -0.3242674171924591]
0.0 | 0.019316507132821254 | [-0.4437305194498912, -0.35684116671970606] | 1672709010.7274287 | [-0.44373053312301636, -0.3568410277366638]
0.0 | 0.0018198770119348384 | [-0.47475670461127795, -0.38946122403899736] | 1672709010.8680582 | [-0.47475695610046387, -0.389460951089859]
0.0 | -0.0036178982529553845 | [-0.5057405106523086, -0.42202014305064245] | 1672709011.0217006 | [-0.505740761756897, -0.4220198690891266]
0.0 | -0.016543822810945682 | [-0.5470969557235308, -0.46546310879173497] | 1672709011.1772847 | [-0.5367567539215088, -0.4546307623386383]
0.0 | 0.01835911123396465 | [-0.5677385784078965, -0.4871645790578278] | 1672709011.3166022 | [-0.5677386522293091, -0.4871644377708435]
0.0 | -0.007761166967764119 | [-0.5987353778503293, -0.5197528230283939] | 1672709011.4731817 | [-0.5987354516983032, -0.5197526812553406]
