"[1.3266887664794922, 1.053825855255127]",|,"[1.3405272960662842, 1.0668306350708008]",|,[-0.01383853 -0.01300478]
"[1.4080076217651367, 1.111886739730835]",|,"[1.402241587638855, 1.1101137399673462]",|,[0.00576603 0.001773  ]
"[1.4487226009368896, 1.140864610671997]",|,"[1.4703278541564941, 1.156516432762146]",|,[-0.02160525 -0.01565182]
"[1.5302436351776123, 1.1988013982772827]",|,"[1.5283091068267822, 1.2011051177978516]",|,[ 0.00193453 -0.00230372]
"[1.5912840366363525, 1.2423125505447388]",|,"[1.5882869958877563, 1.2483476400375366]",|,[ 0.00299704 -0.00603509]
"[1.6383068561553955, 1.2756887674331665]",|,"[1.6309776306152344, 1.2737611532211304]",|,[0.00732923 0.00192761]
"[1.6647653579711914, 1.2941641807556152]",|,"[1.6847211122512817, 1.2976690530776978]",|,[-0.01995575 -0.00350487]
"[1.6896393299102783, 1.3094396591186523]",|,"[1.7254610061645508, 1.3128045797348022]",|,[-0.03582168 -0.00336492]
"[1.707315444946289, 1.3179271221160889]",|,"[1.739789605140686, 1.3223493099212646]",|,[-0.03247416 -0.00442219]
"[1.715433120727539, 1.3189820051193237]",|,"[1.7472152709960938, 1.3235973119735718]",|,[-0.03178215 -0.00461531]
"[1.7250802516937256, 1.314767837524414]",|,"[1.7489912509918213, 1.3210288286209106]",|,[-0.023911   -0.00626099]
"[1.739514708518982, 1.3134676218032837]",|,"[1.7303487062454224, 1.3191767930984497]",|,[ 0.009166   -0.00570917]
"[1.7505676746368408, 1.3149349689483643]",|,"[1.7530070543289185, 1.3230295181274414]",|,[-0.00243938 -0.00809455]
"[1.7599588632583618, 1.3174660205841064]",|,"[1.7120283842086792, 1.3235796689987183]",|,[ 0.04793048 -0.00611365]
"[1.7664655447006226, 1.3204551935195923]",|,"[1.737688422203064, 1.326316475868225]",|,[ 0.02877712 -0.00586128]
"[1.7721929550170898, 1.3236441612243652]",|,"[1.796791672706604, 1.3330271244049072]",|,[-0.02459872 -0.00938296]
"[1.7805331945419312, 1.3336710929870605]",|,"[1.743954062461853, 1.338680624961853]",|,[ 0.03657913 -0.00500953]
"[1.7808177471160889, 1.3387105464935303]",|,"[1.7025091648101807, 1.34666109085083]",|,[ 0.07830858 -0.00795054]
"[1.750687837600708, 1.3571382761001587]",|,"[1.7341114282608032, 1.3621121644973755]",|,[ 0.01657641 -0.00497389]
"[1.6932241916656494, 1.3724777698516846]",|,"[1.6172019243240356, 1.374894618988037]",|,[ 0.07602227 -0.00241685]
"[1.6213029623031616, 1.3837190866470337]",|,"[1.553823709487915, 1.3848713636398315]",|,[ 0.06747925 -0.00115228]
"[1.5471340417861938, 1.3947372436523438]",|,"[1.5491405725479126, 1.39735746383667]",|,[-0.00200653 -0.00262022]
"[1.4976909160614014, 1.4021198749542236]",|,"[1.469152569770813, 1.4123741388320923]",|,[ 0.02853835 -0.01025426]
"[1.3988287448883057, 1.4168357849121094]",|,"[1.3930163383483887, 1.4210659265518188]",|,[ 0.00581241 -0.00423014]
"[1.3493762016296387, 1.4241911172866821]",|,"[1.317512035369873, 1.433955430984497]",|,[ 0.03186417 -0.00976431]
"[1.2504799365997314, 1.4389126300811768]",|,"[1.2375502586364746, 1.4436943531036377]",|,[ 0.01292968 -0.00478172]
"[1.176327109336853, 1.4499423503875732]",|,"[1.1641689538955688, 1.4582798480987549]",|,[ 0.01215816 -0.0083375 ]
"[1.1021711826324463, 1.4609748125076294]",|,"[1.0885499715805054, 1.4675052165985107]",|,[ 0.01362121 -0.0065304 ]
"[1.0279971361160278, 1.4720228910446167]",|,"[1.0132793188095093, 1.4825025796890259]",|,[ 0.01471782 -0.01047969]
"[0.9538482427597046, 1.483059287071228]",|,"[0.9395856261253357, 1.4916263818740845]",|,[ 0.01426262 -0.00856709]
"[0.879677414894104, 1.4941046237945557]",|,"[0.8661728501319885, 1.5060944557189941]",|,[ 0.01350456 -0.01198983]
"[0.8055328130722046, 1.5051472187042236]",|,"[0.7933107018470764, 1.514780879020691]",|,[ 0.01222211 -0.00963366]
"[0.7313462495803833, 1.5162074565887451]",|,"[0.7199195623397827, 1.5282816886901855]",|,[ 0.01142669 -0.01207423]
"[0.6571744680404663, 1.5272554159164429]",|,"[0.6474774479866028, 1.5361732244491577]",|,[ 0.00969702 -0.00891781]
"[0.5830367207527161, 1.5383219718933105]",|,"[0.5745365619659424, 1.5494489669799805]",|,[ 0.00850016 -0.011127  ]
"[0.5088610053062439, 1.549351453781128]",|,"[0.5019879341125488, 1.5573108196258545]",|,[ 0.00687307 -0.00795937]
"[0.4346872866153717, 1.560412883758545]",|,"[0.42513662576675415, 1.5684386491775513]",|,[ 0.00955066 -0.00802577]
"[0.36053961515426636, 1.571498990058899]",|,"[0.35161054134368896, 1.5757637023925781]",|,[ 0.00892907 -0.00426471]
"[0.28634822368621826, 1.5825631618499756]",|,"[0.27410733699798584, 1.5883946418762207]",|,[ 0.01224089 -0.00583148]
"[0.23692527413368225, 1.5898929834365845]",|,"[0.1982763409614563, 1.5979565382003784]",|,[ 0.03864893 -0.00806355]
"[0.13799789547920227, 1.6046340465545654]",|,"[0.12339061498641968, 1.605064034461975]",|,[ 0.01460728 -0.00042999]
"[0.06381676346063614, 1.6156702041625977]",|,"[0.044821128249168396, 1.617388367652893]",|,[ 0.01899564 -0.00171816]
"[0.02217060886323452, 1.6220767498016357]",|,"[-0.015018641948699951, 1.6226404905319214]",|,[ 0.03718925 -0.00056374]
"[-0.015251311473548412, 1.6279032230377197]",|,"[-0.036692336201667786, 1.6319736242294312]",|,[ 0.02144102 -0.0040704 ]
"[-0.05437053367495537, 1.6359846591949463]",|,"[-0.019101902842521667, 1.6170141696929932]",|,[-0.03526863  0.01897049]
"[-0.07419843971729279, 1.6422277688980103]",|,"[-0.06015649437904358, 1.6333153247833252]",|,[-0.01404195  0.00891244]
"[-0.08463427424430847, 1.649562120437622]",|,"[-0.05847732722759247, 1.635356068611145]",|,[-0.02615695  0.01420605]
"[-0.08970147371292114, 1.65936279296875]",|,"[-0.07952861487865448, 1.6517314910888672]",|,[-0.01017286  0.0076313 ]
"[-0.09743597358465195, 1.6674480438232422]",|,"[-0.10970740020275116, 1.6699285507202148]",|,[ 0.01227143 -0.00248051]
"[-0.10701137781143188, 1.6731246709823608]",|,"[-0.12407727539539337, 1.6759287118911743]",|,[ 0.0170659  -0.00280404]
"[-0.117090605199337, 1.6747270822525024]",|,"[-0.17316122353076935, 1.6965885162353516]",|,[ 0.05607062 -0.02186143]
"[-0.12537166476249695, 1.6734397411346436]",|,"[-0.19496946036815643, 1.7013942003250122]",|,[ 0.0695978  -0.02795446]
"[-0.13603545725345612, 1.6725629568099976]",|,"[-0.09382407367229462, 1.6484780311584473]",|,[-0.04221138  0.02408493]
"[-0.14575496315956116, 1.671187162399292]",|,"[-0.21825511753559113, 1.698689579963684]",|,[ 0.07250015 -0.02750242]
"[-0.15033748745918274, 1.6646068096160889]",|,"[-0.2107151299715042, 1.6911062002182007]",|,[ 0.06037764 -0.02649939]
"[-0.14157721400260925, 1.6366733312606812]",|,"[-0.16567228734493256, 1.65241277217865]",|,[ 0.02409507 -0.01573944]
"[-0.1106138601899147, 1.588213324546814]",|,"[-0.18781565129756927, 1.6211209297180176]",|,[ 0.07720179 -0.03290761]
"[-0.06513084471225739, 1.532615303993225]",|,"[-0.1442558914422989, 1.5637458562850952]",|,[ 0.07912505 -0.03113055]
"[-0.016843445599079132, 1.4752267599105835]",|,"[-0.031587421894073486, 1.48600172996521]",|,[ 0.01474398 -0.01077497]
"[0.031413234770298004, 1.4177991151809692]",|,"[0.01769527792930603, 1.422957181930542]",|,[ 0.01371796 -0.00515807]
"[0.07968566566705704, 1.3603545427322388]",|,"[0.06536772847175598, 1.3659594058990479]",|,[ 0.01431794 -0.00560486]
"[0.1279222071170807, 1.3029881715774536]",|,"[0.11496804654598236, 1.3051904439926147]",|,[ 0.01295416 -0.00220227]
"[0.1761660873889923, 1.2455878257751465]",|,"[0.16231586039066315, 1.2468808889389038]",|,[ 0.01385023 -0.00129306]
"[0.22442153096199036, 1.1881544589996338]",|,"[0.21326635777950287, 1.1863268613815308]",|,[0.01115517 0.0018276 ]
"[0.2726507782936096, 1.1307729482650757]",|,"[0.2604747414588928, 1.1296772956848145]",|,[0.01217604 0.00109565]
"[0.3208838403224945, 1.0733648538589478]",|,"[0.3099023997783661, 1.0726221799850464]",|,[0.01098144 0.00074267]
"[0.36913105845451355, 1.015967607498169]",|,"[0.36100929975509644, 1.0145422220230103]",|,[0.00812176 0.00142539]
"[0.4173527657985687, 0.9585945010185242]",|,"[0.4084011912345886, 0.9601159691810608]",|,[ 0.00895157 -0.00152147]
"[0.4655857980251312, 0.9012190699577332]",|,"[0.45910775661468506, 0.9037041068077087]",|,[ 0.00647804 -0.00248504]
"[0.5138459205627441, 0.8438053131103516]",|,"[0.5066872239112854, 0.8495571613311768]",|,[ 0.0071587  -0.00575185]
"[0.5620691180229187, 0.7864156365394592]",|,"[0.5566232800483704, 0.7941309213638306]",|,[ 0.00544584 -0.00771528]
"[0.6103295087814331, 0.7289717197418213]",|,"[0.6041107177734375, 0.7394374012947083]",|,[ 0.00621879 -0.01046568]
"[0.6585543751716614, 0.6715672016143799]",|,"[0.653373122215271, 0.6835228800773621]",|,[ 0.00518125 -0.01195568]
"[0.7068196535110474, 0.6141267418861389]",|,"[0.7008255124092102, 0.628064751625061]",|,[ 0.00599414 -0.01393801]
"[0.7550567984580994, 0.5567234754562378]",|,"[0.7493515014648438, 0.5706660747528076]",|,[ 0.0057053 -0.0139426]
"[0.8033230900764465, 0.4993228018283844]",|,"[0.7967652082443237, 0.513711154460907]",|,[ 0.00655788 -0.01438835]
"[0.8515602946281433, 0.44193023443222046]",|,"[0.8450340628623962, 0.457647442817688]",|,[ 0.00652623 -0.01571721]
"[0.899810791015625, 0.3845458924770355]",|,"[0.892662763595581, 0.39706337451934814]",|,[ 0.00714803 -0.01251748]
"[0.9480492472648621, 0.3271659314632416]",|,"[0.939556896686554, 0.33924394845962524]",|,[ 0.00849235 -0.01207802]
"[0.9962822794914246, 0.2697632908821106]",|,"[0.9872184991836548, 0.2799765467643738]",|,[ 0.00906378 -0.01021326]
"[1.0445269346237183, 0.21234843134880066]",|,"[1.0350759029388428, 0.22488893568515778]",|,[ 0.00945103 -0.0125405 ]
"[1.0927571058273315, 0.1549115777015686]",|,"[1.0819185972213745, 0.16314609348773956]",|,[ 0.01083851 -0.00823452]
"[1.1409887075424194, 0.0975048616528511]",|,"[1.1373217105865479, 0.12040896713733673]",|,[ 0.003667   -0.02290411]
"[1.1892176866531372, 0.04007704555988312]",|,"[1.1765588521957397, 0.05178965628147125]",|,[ 0.01265883 -0.01171261]
"[1.2374433279037476, -0.01730133220553398]",|,"[1.2265574932098389, -0.010446056723594666]",|,[ 0.01088583 -0.00685528]
"[1.2856547832489014, -0.0747450441122055]",|,"[1.274444818496704, -0.0661267638206482]",|,[ 0.01120996 -0.00861828]
"[1.333886981010437, -0.13211576640605927]",|,"[1.3235838413238525, -0.12426382303237915]",|,[ 0.01030314 -0.00785194]
"[1.3821172714233398, -0.18951132893562317]",|,"[1.3707455396652222, -0.18134163320064545]",|,[ 0.01137173 -0.0081697 ]
"[1.4303261041641235, -0.24691268801689148]",|,"[1.421276330947876, -0.2348705232143402]",|,[ 0.00904977 -0.01204216]
"[1.478581190109253, -0.30433160066604614]",|,"[1.4682368040084839, -0.29457342624664307]",|,[ 0.01034439 -0.00975817]
"[1.5267653465270996, -0.3617714047431946]",|,"[1.522094488143921, -0.3444080650806427]",|,[ 0.00467086 -0.01736334]
"[1.5749880075454712, -0.4191984236240387]",|,"[1.5668048858642578, -0.4094853401184082]",|,[ 0.00818312 -0.00971308]
"[1.622013807296753, -0.4749818742275238]",|,"[1.6173068284988403, -0.4657989740371704]",|,[ 0.00470698 -0.0091829 ]
"[1.6521892547607422, -0.5103942155838013]",|,"[1.65139901638031, -0.49666035175323486]",|,[ 0.00079024 -0.01373386]
"[1.6651203632354736, -0.5260716676712036]",|,"[1.6448135375976562, -0.5264101028442383]",|,[0.02030683 0.00033844]
"[1.6910715103149414, -0.553249180316925]",|,"[1.631935477256775, -0.5494422316551208]",|,[ 0.05913603 -0.00380695]
"[1.7048887014389038, -0.5640444755554199]",|,"[1.6595667600631714, -0.5594456791877747]",|,[ 0.04532194 -0.0045988 ]
"[1.715380311012268, -0.5646159052848816]",|,"[1.678039312362671, -0.5590113997459412]",|,[ 0.037341   -0.00560451]
"[1.7261295318603516, -0.5618056654930115]",|,"[1.7093889713287354, -0.5548584461212158]",|,[ 0.01674056 -0.00694722]
"[1.7366487979888916, -0.5654071569442749]",|,"[1.7312339544296265, -0.5573360323905945]",|,[ 0.00541484 -0.00807112]
"[1.7461299896240234, -0.5711458921432495]",|,"[1.7453140020370483, -0.5608083605766296]",|,[ 0.00081599 -0.01033753]
"[1.7523034811019897, -0.5763100981712341]",|,"[1.7757352590560913, -0.5586409568786621]",|,[-0.02343178 -0.01766914]
"[1.7477887868881226, -0.5892634987831116]",|,"[1.7505992650985718, -0.5786479711532593]",|,[-0.00281048 -0.01061553]
"[1.718677282333374, -0.6181215643882751]",|,"[1.7210208177566528, -0.608848512172699]",|,[-0.00234354 -0.00927305]
"[1.6650657653808594, -0.6536951661109924]",|,"[1.6843656301498413, -0.6369611024856567]",|,[-0.01929986 -0.01673406]
"[1.6004307270050049, -0.6907392740249634]",|,"[1.617136001586914, -0.6733097434043884]",|,[-0.01670527 -0.01742953]
