2023-01-18 16:54:47,917 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:48,363 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:48,742 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:49,109 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:49,539 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:49,791 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:50,221 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:50,540 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:50,813 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:51,067 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:51,466 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:51,763 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:52,064 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:52,351 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:52,674 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:52,969 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:53,232 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:53,528 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:53,787 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:54,125 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:54,408 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:54,764 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:55,044 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:55,393 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:55,702 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:55,982 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:56,282 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:56,535 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:56,781 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:57,100 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:57,351 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:57,673 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:57,929 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:58,293 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:58,588 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:58,855 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:59,200 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:59,461 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:59,719 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:00,016 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:00,325 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:00,553 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:00,791 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:01,109 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:01,348 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:01,604 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:01,917 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:02,168 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:02,445 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:02,686 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:02,977 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:03,228 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:03,471 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:03,754 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:03,986 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:04,250 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:04,554 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:04,865 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:05,199 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:05,451 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:05,777 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:06,024 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:06,285 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:06,702 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:07,025 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:07,372 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:07,747 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:08,024 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:08,321 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:08,593 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:08,897 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:09,158 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:09,429 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:09,782 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:10,075 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:10,439 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:10,726 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:10,985 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
